,language,sonorant,elevation
sout2991,South Bolivian Quechua,14,4156.0
sout2994,Southern Nambikuára,24,687.0
stan1288,Spanish,14,1202.0
stan1290,French,25,124.0
stan1295,German,25,368.0
suen1241,Suena,10,68.0
suii1243,Sui,26,276.0
taca1256,Tacana,10,207.0
tach1250,Tachelhit,11,904.0
taga1270,Tagalog,12,93.0
taha1241,Tahaggart Tamahaq,19,760.0
talo1250,Tasomi-Tata,15,486.0
tama1331,Tama (Chad),18,1045.0
tamn1235,Tamnim Citak,10,19.0
tamp1252,Tampulma,18,129.0
taro1263,Tarok,13,210.0
tedi1235,Tedim Chin,11,1359.0
tehu1242,Tehuelche,14,299.0
teke1280,Teke-Kukuya,15,530.0
telu1262,Telugu,20,440.0
tera1251,Tera,14,363.0
tetu1245,Tetum,10,317.0
thai1261,Thai,16,3.0
ticu1245,Ticuna,17,150.0
tiga1245,Tigak,9,44.0
tigr1270,Tigre,13,2112.0
timn1235,Timne,14,48.0
tiru1241,Tiruray,13,435.0
tiwi1244,Tiwi,15,74.0
tlin1245,Tlingit,8,656.0
toar1246,Toaripi,8,7.0
toho1245,Tohono O'odham,11,640.0
toll1241,Tol,12,773.0
tonk1249,Tonkawa,15,86.0
toro1252,Toro So Dogon,19,279.0
tosk1239,Northern Tosk Albanian,14,88.0
toto1305,Totontepec Mixe,12,1423.0
trum1247,Trumai,12,284.0
tsou1248,Tsou,10,989.0
tulu1258,Tulu,23,86.0
tuni1252,Tunica,13,40.0
tuuu1240,Tu,10,2746.0
tuvi1240,Tuvinian,15,613.0
twee1234,Tweed-Albert,12,51.0
tzel1254,Tzeltal,11,2091.0
uppe1439,Upper Chehalis,9,35.0
usan1239,Usan,10,724.0
vani1248,Vanimo,20,197.0
viet1252,Vietnamese,21,8.0
waim1251,Waima,8,9.0
waim1255,Waimaha,15,167.0
wame1240,Wamey,20,79.0
wang1291,Ngiyambaa,13,153.0
want1252,Wantoat,11,1967.0
waor1240,Waorani,15,259.0
wapi1253,Wapishana,12,130.0
wapp1239,Wappo,15,59.0
wara1290,Warray,13,29.0
wara1303,Warao,15,26.0
wari1266,Waris,13,640.0
wayu1243,Wayuu,18,37.0
west2369,Western Farsi,12,2174.0
west2397,Western Bru,30,161.0
west2600,West Makian,12,392.0
west2632,Western Keres,22,1852.0
west2644,Western Highland Chatino,15,1344.0
west2650,Western Cham,19,35.0
wich1260,Wichita,13,390.0
wikm1247,Wik-Mungkan,13,32.0
wint1259,Wintu,10,157.0
wiyo1248,Wiyot,13,449.0
wuch1236,Wu Chinese,15,205.0
yaga1260,Yagaria,13,1810.0
yagu1244,Yagua,17,97.0
yaku1245,Sakha,20,875.0
yana1271,Yana,14,25.0
yane1238,Yanesha',11,2474.0
yany1243,Yanyuwa,18,57.0
yaqu1251,Yaqui,11,788.0
yare1248,Yareba,10,223.0
yess1239,Yessan-Mayo,10,21.0
yidi1250,Yidiñ,12,7.0
yoru1245,Yoruba,17,105.0
yuca1254,Yucatec Maya,15,86.0
yuch1247,Yuchi,16,247.0
yucu1253,Yucuna,12,164.0
yuec1235,Yue Chinese,12,-3.0
yulu1243,Yulu,15,680.0
zand1248,Zande,22,638.0
zulu1248,Zulu,12,537.0
zuni1245,Zuni,10,2210.0
